DATASET_HEATMAP
#In heatmaps, each ID is associated to multiple numeric values, which are displayed as a set of colored boxes defined by a color gradient
#lines starting with a hash are comments and ignored during parsing
#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
#SEPARATOR TAB
SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL number_of_descendants

#dataset color (can be changed later)
COLOR #ff0000

#define labels for each individual field column
FIELD_LABELS number_desc

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#


#Heatmaps can have an optional Newick formatted tree assigned. Its leaf IDs must exactly match the dataset FIELD_LABELS.
#The tree will be used to sort the dataset fields, and will be displayed above the dataset. It can have branch lengths defined.
#All newlines and spaces should be stripped from the tree, and COMMA cannot be used as the dataset separator if a FIELD_TREE is provided.
#FIELD_TREE (((f1:0.2,f5:0.5):1,(f2:0.2,f3:0.3):1.2):0.5,(f4:0.1,f6:0.5):0.8):1;



#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#Each dataset can have a legend, which is defined using LEGEND_XXX fields below
#For each row in the legend, there should be one shape, color and label.
#Optionally, you can define an exact legend position using LEGEND_POSITION_X and LEGEND_POSITION_Y. To use automatic legend positioning, do NOT define these values
#Optionally, shape scaling can be present (LEGEND_SHAPE_SCALES). For each shape, you can define a scaling factor between 0 and 1.
#Shape should be a number between 1 and 6, or any protein domain shape definition.
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE,Dataset legend
#LEGEND_POSITION_X,100
#LEGEND_POSITION_Y,100
#LEGEND_SHAPES,1,2,3
#LEGEND_COLORS,#ff0000,#00ff00,#0000ff
#LEGEND_LABELS,value1,value2,value3
#LEGEND_SHAPE_SCALES,1,1,0.5

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN 0

#width of the individual boxes
#STRIP_WIDTH 25

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL 0


#show dashed lines between leaf labels and the dataset
#DASHED_LINES 1

#if a FIELD_TREE is present, it can be hidden by setting this option to 0
#SHOW_TREE 1

#define the color for the NULL values in the dataset. Use the letter X in the data to define the NULL values
#COLOR_NAN #000000

#automatically create and display a legend based on the color gradients and values defined below
#AUTO_LEGEND 1


#define the heatmap gradient colors. Values in the dataset will be mapped onto the corresponding color gradient.
COLOR_MIN #0000ff
COLOR_MAX #ff0000

#you can specify a gradient with three colors (e.g red to yellow to green) by setting 'USE_MID_COLOR' to 1, and specifying the midpoint color
#USE_MID_COLOR 1
#COLOR_MID #ffff00

#By default, color gradients will be calculated based on dataset values. You can force different values to use in the calculation by setting the values below:
#USER_MIN_VALUE 0
#USER_MID_VALUE 500
#USER_MAX_VALUE 1000

#border width; if set above 0, a border of specified width (in pixels) will be drawn around individual cells
#BORDER_WIDTH,0

#border color; used only when BORDER_WIDTH is above 0
#BORDER_COLOR,#0000ff


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA

Acanthisittidae 7
Accipitridae 538
Aegothelidae 20
Aepyornithidae 2
Alaudidae 200
Anatidae 307
Anhimidae 4
Anhingidae 9
Anseranatidae 1
Apodidae 179
Apterygidae 6
Aramidae 4
Ardeidae 117
Balaenicipitidae 2
Brachypteraciidae 7
Bucconidae 73
Bucerotidae 87
Bucorvidae 2
Burhinidae 13
Cacatuidae 26
Callaeidae 9
Caprimulgidae 131
Cariamidae 3
Casuariidae 25
Cathartidae 29
Centropidae 43
Cerylidae 11
Chionididae 2
Ciconiidae 31
Cinclidae 21
Climacteridae 11
Coccyzidae 30
Coliidae 13
Colluricinclidae 4
Conopophagidae 13
Coraciidae 27
Corcoracidae 3
Cracidae 76
Crotophagidae 4
Dasyornithidae 4
Dicaeidae 87
Dinornithidae 3
Diomedeidae 32
Dromadidae 1
Dromaiidae 2
Eurostopodidae 9
Eurypygidae 1
Falconidae 191
Fregatidae 7
Galbulidae 27
Gaviidae 13
Gruidae 40
Haematopodidae 16
Heliornithidae 4
Hirundinidae 144
Hypocolidae 1
Icteridae 169
Indicatoridae 37
Irenidae 42
Jacanidae 11
Leiothrichidae 250
Leptosomidae 1
Malaconotidae 87
Maluridae 70
Megalaimidae 70
Melanocharitidae 11
Menuridae 8
Meropidae 45
Mesitornithidae 3
Mohoidae 6
Momotidae 25
Monarchidae 186
Musophagidae 38
Numididae 12
Nyctibiidae 7
Odontophoridae 88
Opisthocomidae 1
Orthonychidae 4
Otididae 38
Pandionidae 5
Paradisaeidae 68
Paramythiidae 2
Pardalotidae 6
Pedionomidae 2
Pelecanidae 23
Pelecanoididae 8
Petroicidae 104
Phaethontidae 9
Phalacrocoracidae 79
Philepittidae 4
Phoenicopteridae 17
Phoeniculidae 12
Phylloscopidae 130
Picidae 358
Pittidae 88
Podargidae 11
Podicipedidae 42
Procellariidae 162
Psophiidae 5
Pteroclidae 21
Raphidae 2
Recurvirostridae 12
Rhabdornithidae 5
Rheidae 10
Rhinopomastidae 5
Rhipiduridae 83
Rhynochetidae 2
Rostratulidae 2
Sagittariidae_family_in_Opisthokonta 4
Scolopacidae 161
Scopidae 1
Scotocercidae 5
Spheniscidae 74
Steatornithidae 1
Stenostiridae 12
Stercorariidae 10
Strigidae 359
Struthionidae 9
Sulidae 37
Sylviornithidae 2
Thinocoridae 8
Threskiornithidae 44
Tinamidae 70
Todidae 6
Trochilidae 580
Trogonidae 77
Turnicidae 29
Tytonidae 60
Upupidae 9
Vireonidae 88
MRCA_of_taxa_in_Bernieridae 92
MRCA_of_taxa_in_Laniidae 90
MRCA_of_taxa_in_Ploceidae 155
MRCA_of_taxa_in_Dendrocolaptidae 135
MRCA_of_taxa_in_Cettiidae 39
MRCA_of_taxa_in_Alcidae 66
MRCA_of_taxa_in_Lybiidae 71
MRCA_of_taxa_in_Turdidae 920
MRCA_of_taxa_in_Picathartidae 11
MRCA_of_taxa_in_Neomorphidae 14
MRCA_of_taxa_in_Sittidae 49
MRCA_of_taxa_in_Pellorneidae 60
MRCA_of_taxa_in_Thamnophilidae 314
MRCA_of_taxa_in_Artamidae 45
MRCA_of_taxa_in_Vangidae 24
MRCA_of_taxa_in_Estrildidae 237
MRCA_of_taxa_in_Passerellidae 231
MRCA_of_taxa_in_Loriidae 133
MRCA_of_taxa_in_Motacillidae 162
MRCA_of_taxa_in_Pipridae 705
