DATASET_HEATMAP
#In heatmaps, each ID is associated to multiple numeric values, which are displayed as a set of colored boxes defined by a color gradient
#lines starting with a hash are comments and ignored during parsing
#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
#SEPARATOR TAB
SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL LOG_number_of_descendante

#dataset color (can be changed later)
COLOR #ff0000

#define labels for each individual field column
FIELD_LABELS number_desc

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#


#Heatmaps can have an optional Newick formatted tree assigned. Its leaf IDs must exactly match the dataset FIELD_LABELS.
#The tree will be used to sort the dataset fields, and will be displayed above the dataset. It can have branch lengths defined.
#All newlines and spaces should be stripped from the tree, and COMMA cannot be used as the dataset separator if a FIELD_TREE is provided.
#FIELD_TREE (((f1:0.2,f5:0.5):1,(f2:0.2,f3:0.3):1.2):0.5,(f4:0.1,f6:0.5):0.8):1;



#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#Each dataset can have a legend, which is defined using LEGEND_XXX fields below
#For each row in the legend, there should be one shape, color and label.
#Optionally, you can define an exact legend position using LEGEND_POSITION_X and LEGEND_POSITION_Y. To use automatic legend positioning, do NOT define these values
#Optionally, shape scaling can be present (LEGEND_SHAPE_SCALES). For each shape, you can define a scaling factor between 0 and 1.
#Shape should be a number between 1 and 6, or any protein domain shape definition.
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE,Dataset legend
#LEGEND_POSITION_X,100
#LEGEND_POSITION_Y,100
#LEGEND_SHAPES,1,2,3
#LEGEND_COLORS,#ff0000,#00ff00,#0000ff
#LEGEND_LABELS,value1,value2,value3
#LEGEND_SHAPE_SCALES,1,1,0.5

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN 0

#width of the individual boxes
#STRIP_WIDTH 25

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL 0


#show dashed lines between leaf labels and the dataset
#DASHED_LINES 1

#if a FIELD_TREE is present, it can be hidden by setting this option to 0
#SHOW_TREE 1

#define the color for the NULL values in the dataset. Use the letter X in the data to define the NULL values
#COLOR_NAN #000000

#automatically create and display a legend based on the color gradients and values defined below
#AUTO_LEGEND 1


#define the heatmap gradient colors. Values in the dataset will be mapped onto the corresponding color gradient.
COLOR_MIN #0000ff
COLOR_MAX #ff0000

#you can specify a gradient with three colors (e.g red to yellow to green) by setting 'USE_MID_COLOR' to 1, and specifying the midpoint color
#USE_MID_COLOR 1
#COLOR_MID #ffff00

#By default, color gradients will be calculated based on dataset values. You can force different values to use in the calculation by setting the values below:
#USER_MIN_VALUE 0
#USER_MID_VALUE 500
#USER_MAX_VALUE 1000

#border width; if set above 0, a border of specified width (in pixels) will be drawn around individual cells
#BORDER_WIDTH,0

#border color; used only when BORDER_WIDTH is above 0
#BORDER_COLOR,#0000ff


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA

Acanthisittidae 0.8450980400142567
Accipitridae 2.730782275666389
Aegothelidae 1.301029995663981
Aepyornithidae 0.30102999566398114
Alaudidae 2.301029995663981
Anatidae 2.487138375477186
Anhimidae 0.6020599913279623
Anhingidae 0.9542425094393249
Anseranatidae 0.0
Apodidae 2.252853030979893
Apterygidae 0.7781512503836435
Aramidae 0.6020599913279623
Ardeidae 2.0681858617461617
Balaenicipitidae 0.30102999566398114
Brachypteraciidae 0.8450980400142567
Bucconidae 1.8633228601204557
Bucerotidae 1.9395192526186182
Bucorvidae 0.30102999566398114
Burhinidae 1.1139433523068367
Cacatuidae 1.414973347970818
Callaeidae 0.9542425094393249
Caprimulgidae 2.117271295655764
Cariamidae 0.47712125471966244
Casuariidae 1.3979400086720375
Cathartidae 1.462397997898956
Centropidae 1.6334684555795864
Cerylidae 1.041392685158225
Chionididae 0.30102999566398114
Ciconiidae 1.4913616938342726
Cinclidae 1.322219294733919
Climacteridae 1.041392685158225
Coccyzidae 1.4771212547196624
Coliidae 1.1139433523068367
Colluricinclidae 0.6020599913279623
Conopophagidae 1.1139433523068367
Coraciidae 1.4313637641589871
Corcoracidae 0.47712125471966244
Cracidae 1.8808135922807911
Crotophagidae 0.6020599913279623
Dasyornithidae 0.6020599913279623
Dicaeidae 1.9395192526186182
Dinornithidae 0.47712125471966244
Diomedeidae 1.5051499783199058
Dromadidae 0.0
Dromaiidae 0.30102999566398114
Eurostopodidae 0.9542425094393249
Eurypygidae 0.0
Falconidae 2.281033367247727
Fregatidae 0.8450980400142567
Galbulidae 1.4313637641589871
Gaviidae 1.1139433523068367
Gruidae 1.6020599913279623
Haematopodidae 1.2041199826559246
Heliornithidae 0.6020599913279623
Hirundinidae 2.1583624920952493
Hypocolidae 0.0
Icteridae 2.2278867046136734
Indicatoridae 1.5682017240669948
Irenidae 1.6232492903979003
Jacanidae 1.041392685158225
Leiothrichidae 2.397940008672037
Leptosomidae 0.0
Malaconotidae 1.9395192526186182
Maluridae 1.845098040014257
Megalaimidae 1.845098040014257
Melanocharitidae 1.041392685158225
Menuridae 0.9030899869919434
Meropidae 1.6532125137753435
Mesitornithidae 0.47712125471966244
Mohoidae 0.7781512503836435
Momotidae 1.3979400086720375
Monarchidae 2.2695129442179165
Musophagidae 1.57978359661681
Numididae 1.0791812460476247
Nyctibiidae 0.8450980400142567
Odontophoridae 1.9444826721501687
Opisthocomidae 0.0
Orthonychidae 0.6020599913279623
Otididae 1.57978359661681
Pandionidae 0.6989700043360187
Paradisaeidae 1.8325089127062362
Paramythiidae 0.30102999566398114
Pardalotidae 0.7781512503836435
Pedionomidae 0.30102999566398114
Pelecanidae 1.3617278360175928
Pelecanoididae 0.9030899869919434
Petroicidae 2.0170333392987803
Phaethontidae 0.9542425094393249
Phalacrocoracidae 1.8976270912904412
Philepittidae 0.6020599913279623
Phoenicopteridae 1.2304489213782739
Phoeniculidae 1.0791812460476247
Phylloscopidae 2.1139433523068365
Picidae 2.553883026643874
Pittidae 1.9444826721501687
Podargidae 1.041392685158225
Podicipedidae 1.6232492903979003
Procellariidae 2.2095150145426303
Psophiidae 0.6989700043360187
Pteroclidae 1.322219294733919
Raphidae 0.30102999566398114
Recurvirostridae 1.0791812460476247
Rhabdornithidae 0.6989700043360187
Rheidae 1.0
Rhinopomastidae 0.6989700043360187
Rhipiduridae 1.919078092376074
Rhynochetidae 0.30102999566398114
Rostratulidae 0.30102999566398114
Sagittariidae_family_in_Opisthokonta 0.6020599913279623
